ny,nx,lat,lon,clima_approach,gpp,npp,cmass,cleaf,cfroot,cawood,agb
171,250,-4.25,-54.75,PFT_nclim,4.872849,1.698762,15.987208,1.33899,1.56785,13.08037,14.41936
171,251,-4.25,-54.25,PFT_nclim,4.945839,1.693253,15.886977,1.341992,1.566721,12.978265,14.320257
171,252,-4.25,-53.75,PFT_nclim,4.885651,1.665243,15.715772,1.321955,1.547554,12.846264,14.168219
171,253,-4.25,-53.25,PFT_nclim,4.892734,1.652662,15.75001,1.32219,1.54588,12.88194,14.20413
171,254,-4.25,-52.75,PFT_nclim,5.040855,1.708376,16.068754,1.385339,1.610955,13.072459,14.457798
171,255,-4.25,-52.25,PFT_nclim,5.236059,1.809695,17.108797,1.463413,1.659257,13.986129,15.449542
171,256,-4.25,-51.75,PFT_nclim,5.006636,1.699043,15.943604,1.354234,1.576465,13.012905,14.367139
172,211,-3.75,-74.25,PFT_nclim,5.894524,2.53093,17.142443,2.024074,2.324746,12.793623,14.817697
172,212,-3.75,-73.75,PFT_nclim,5.499016,1.949823,18.107355,1.551776,1.756049,14.799531,16.351307
172,213,-3.75,-73.25,PFT_nclim,5.199074,1.756748,16.491232,1.40916,1.595012,13.487061,14.896221
172,214,-3.75,-72.75,PFT_nclim,4.573964,1.630323,15.352346,1.333933,1.512018,12.506396,13.840329
172,215,-3.75,-72.25,PFT_nclim,4.312222,1.576147,14.705444,1.294928,1.468107,11.94241,13.237338
172,216,-3.75,-71.75,PFT_nclim,4.297939,1.55133,14.483246,1.269956,1.439403,11.773888,13.043844
