ny,nx,lat,lon,clima,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood
169,248,-5.25,-55.75,nclim,1,3078101000,5.32448,3.553533,1.771489,86.63125,5.226693,0.31736,16.371197,1.397076,1.59704,13.37708
169,249,-5.25,-55.25,nclim,1,3078101000,5.31602,3.559352,1.771122,85.910484,5.296435,0.314145,16.343771,1.391749,1.592001,13.360021
169,250,-5.25,-54.75,nclim,1,3078101000,4.674865,3.352973,1.656825,84.44738,5.24434,0.298084,15.499789,1.303587,1.525847,12.670357
169,251,-5.25,-54.25,nclim,1,3078101000,4.855028,3.417137,1.72989,82.49239,5.205994,0.304058,16.297674,1.345231,1.536324,13.416121
169,252,-5.25,-53.75,nclim,1,3078101000,5.020724,3.4604,1.77376,81.44973,5.140252,0.3107,16.648226,1.379028,1.572711,13.696486
169,253,-5.25,-53.25,nclim,1,3078101000,4.749337,3.37189,1.717584,84.69541,5.048378,0.308932,16.151318,1.333124,1.518673,13.299521
170,215,-4.75,-72.25,nclim,0,3080451800,4.319321,3.249068,1.628609,95.98486,5.155352,0.298925,14.924153,1.351455,1.533536,12.039162
170,216,-4.75,-71.75,nclim,0,3080451800,4.135972,3.095761,1.552284,92.84403,4.839896,0.298903,14.326574,1.287513,1.460693,11.578369
170,217,-4.75,-71.25,nclim,0,3080451800,4.220126,3.034295,1.528243,87.76163,4.518495,0.30668,14.360909,1.250402,1.417247,11.693259
170,218,-4.75,-70.75,nclim,0,3080451800,4.494377,3.006572,1.492802,86.17222,4.242573,0.315279,14.049008,1.20708,1.395303,11.446625
170,219,-4.75,-70.25,nclim,0,3080451800,4.454356,2.97291,1.481446,86.266884,4.083039,0.320516,14.053198,1.182854,1.368796,11.501548
170,220,-4.75,-69.75,nclim,1,3080451800,4.401244,2.935038,1.466206,84.62562,3.950999,0.321359,14.225319,1.166584,1.348955,11.70978
170,221,-4.75,-69.25,nclim,1,3080451800,4.280912,2.849999,1.430913,85.77665,3.837585,0.321507,13.914402,1.129882,1.311138,11.473382
170,222,-4.75,-68.75,nclim,1,3080451800,4.190552,2.809599,1.380953,86.99805,3.780205,0.317091,13.405871,1.104371,1.27619,11.025311
170,223,-4.75,-68.25,nclim,1,3080451800,4.152276,2.782613,1.369664,85.35312,3.755197,0.31638,13.222418,1.085752,1.258872,10.877794
170,224,-4.75,-67.75,nclim,1,3080451800,4.153476,2.782029,1.371448,81.563065,3.738263,0.315297,13.515306,1.095949,1.270725,11.148632
170,225,-4.75,-67.25,nclim,1,3080451800,4.449456,2.895405,1.554051,75.76535,3.842607,0.334666,15.660313,1.248048,1.449833,12.962431
170,226,-4.75,-66.75,nclim,1,3080451800,4.745948,3.057564,1.69391,77.869484,4.312303,0.341628,16.149632,1.370242,1.555285,13.224104
170,227,-4.75,-66.25,nclim,1,3080451800,4.128492,3.031133,1.514774,93.59592,4.786515,0.300981,14.076096,1.25173,1.41976,11.404607
170,228,-4.75,-65.75,nclim,1,3080451800,4.115808,3.118024,1.627985,82.28362,5.076162,0.30033,14.896786,1.358507,1.544385,11.993894
170,229,-4.75,-65.25,nclim,1,3080451800,4.162782,3.18371,1.688588,74.29854,5.126701,0.301025,15.23101,1.410969,1.605585,12.214457
170,230,-4.75,-64.75,nclim,1,3080451800,4.491454,3.248809,1.801499,69.202774,4.964409,0.316292,16.278782,1.486268,1.691846,13.100669
170,231,-4.75,-64.25,nclim,1,3080451800,5.664846,3.590501,2.074344,66.40381,4.706466,0.359213,18.83232,1.634503,1.852334,15.345484
170,232,-4.75,-63.75,nclim,1,3080451800,5.402395,3.483224,1.919171,73.81524,4.684866,0.347783,17.896921,1.50983,1.708028,14.679062
170,233,-4.75,-63.25,nclim,1,3080451800,5.458595,3.542065,1.91653,78.37801,4.830048,0.34367,17.82387,1.50806,1.705559,14.61025
170,234,-4.75,-62.75,nclim,1,3080451800,5.679705,3.666183,2.013522,82.034584,5.097225,0.347147,18.466757,1.583883,1.792623,15.090251
170,235,-4.75,-62.25,nclim,1,3080451800,5.959681,3.837768,2.121914,83.339615,5.383543,0.348735,19.127907,1.670689,1.892138,15.56508
170,236,-4.75,-61.75,nclim,0,3080451800,6.262598,3.978046,2.284552,80.34079,5.557945,0.357673,20.08291,1.802594,2.045968,16.234346
170,237,-4.75,-61.25,nclim,0,3080451800,5.16028,3.607933,2.054475,81.155075,5.717606,0.327692,18.909456,1.690038,1.929038,15.290381
170,238,-4.75,-60.75,nclim,0,3080451800,3.961978,3.163381,1.788448,76.565285,5.721919,0.293417,17.008247,1.541001,1.80315,13.664097
170,239,-4.75,-60.25,nclim,0,3080451800,3.787853,3.093853,1.66454,76.37696,5.682878,0.282577,16.653788,1.417745,1.681477,13.554566
170,240,-4.75,-59.75,nclim,0,3080451800,6.172696,4.012084,2.160612,73.84344,5.623838,0.342156,19.289484,1.697954,1.923279,15.66825
170,241,-4.75,-59.25,nclim,0,3080451800,5.930424,3.877791,2.052633,71.62765,5.346389,0.337383,18.585615,1.611715,1.823378,15.150521
170,242,-4.75,-58.75,nclim,1,3080451800,5.566092,3.681633,1.884459,74.36129,5.028577,0.329612,17.24643,1.481169,1.674722,14.090537
170,243,-4.75,-58.25,nclim,1,3080451800,5.305738,3.506482,1.799257,76.78326,4.741251,0.329823,16.738886,1.419794,1.604631,13.714459
170,244,-4.75,-57.75,nclim,1,3080451800,5.165417,3.416736,1.748681,80.58127,4.621664,0.328772,16.418726,1.38418,1.565214,13.469331
170,245,-4.75,-57.25,nclim,1,3080451800,5.116619,3.382332,1.734287,84.016,4.639132,0.328259,16.354908,1.376204,1.560035,13.418668
170,246,-4.75,-56.75,nclim,1,3080451800,5.161812,3.41348,1.748332,86.404274,4.755636,0.327206,16.460632,1.38916,1.577055,13.494419
170,247,-4.75,-56.25,nclim,1,3080451800,5.138137,3.407193,1.733112,88.255135,4.882698,0.321696,16.3074,1.367626,1.559206,13.380566
